~~8-0 is the obscure emoticon that stands for _____.	BAD HAIR DAY
Monroe Isadore, a 107-year-old man from Arkansas, died during a _____.	SHOOTOUT
Owning 55,000 of them, Ted Turner has the world's largest private collection of _____.	BISON
A study published in the journal Anthrozoo reported that cows produce 5% more milk when they are given _____.	NAMES
In 2002, Bruce Willis sent 12,000 boxes of _____ to U.S. soldiers in Afghanistan.	GIRL SCOUT COOKIES
The electric chair was invented by a professional _____ named Alfred Southwick.	DENTIST
A man in L.A. was arrest at a police-sponsored gun buyback when, instead of a gun, he tried to sell the cops a _____.	PIPE BOMB
CELEBRITY TWEET! 9:43 PM - 1 Oct 13 @MikeTyson tweeted, "I'm a bad ____.:	BOWLER
Only about 14 games were ever made for the Gizmondo game system including the game "_____ Balls."	STICKY
On November 12, 1970, George Thornton, a highwat engineer in Oregon, had the unusual job of blowing up a _____.	DEAD WHALE
People in Damariscotta, Maine hold an annual race where they use _____ as boats.	PUMPKINS
Leo Granit Kraft is a world champion in an unusual sport that combines boxing and _____.	CHESS
Andrew Wilson, a man from Branson, Missouri, legally changed his name to simply _____.	THEY
As a young student in Buenos Aires, Pope Francis worked as a _____.	BOUNCER
Dasypygal is an adjective meaning "having _____ buttocks."	HAIRY
A woman in Muncie, Indiana was hospitalized after trying to remove a callus on her foot with a _____.	SHOTGUN
Sponsored by the Calvary Lutheran Church, people in Fort Worth Texas can now attend the unconventional Church-in-a-_____.	PUB
Famed American poet Charles Bukowski's tombstone is engraved with the words "Don't _____."	TRY
Jacobite Cruises purchased unusual insurance to protect it from damage caused by _____.	THE LOCH NESS MONSTER
El Colacho is a Spanish festival where people dress up like the devil and jump over _____.	BABIES
Utah's Lehi City Council approved a request to change the name of _____ Road because it sounded sort of dirty.	MORNING GLORY
Cheap Chic Weddings is an annual contest in which participants make wedding dresses out of _____.	TOILET PAPER
Marcella Hazan is the culinary guru who pioneered the unusual technique of cooking duck with a _____.	HAIR DRYER
The sound of E.T. walking was made by someone squishing _____.	JELL-O
The first item listed on eBay was a broken _____.	LASER POINTER
Oddly enough, Albert Einstein's eyeballs can be found in a _____ in New York City.	SAFE DEPOSIT BOX
In 2013, a wealthy Michagan man bought the house next to his ex -wife and erected a giant bronze statue of a _____.	MIDDLE FINGER
For $180, the Shizuka New York skin care salon offeres the unusual but traditional Japanese facial that is part rice bran and part _____.	BIRD POOP
The shape of wombat poop.	CUBE
What the British call the dance that Americans call the "Hokey Pokey."	HOKEY COKEY
The band Queen's original name.	SMILE
The name of the first chimp sent into space.	HAM
The name for a group of porcupines.	PRICKLE
The name of the dog that won the 2012 World's Ugliest Dog Competition.	MUGLY
Dr. Suess is credit with coining this common derogatory term in his 1950 book If I Ran the Zoo.	NERD
Harry Houdini once threatened to shoot all of these people.	PSYCHICS
The original name for the search engine that became Google.	BACKRUB
Miley Cyrus's real first name.	DESTINY
The name of the dildo resembling Queen Elizabeth II that's sold by the Company Masturpieces.	BUCKINGHAM PHALLUS
Michael J. Fox's middle name.	ANDREW
The name of the Star Trek starship in creator Gene Roddenberry's original script.	YORKTOWN
At 65% alcohol by volume, Brewmesiter brews the world's strongest beer, which goes by this name.	ARMAGEDDOM
The name of the man on the Quaker Oats label.	LARRY
During a famous fire in 1567, a Norwegian man named Hans Steininger died after tripping over a _____.	BEARD
The fishing company E21 makes a very peculiar fishing rod that is composed of 70% _____.	CARROTS
The first reporting on the Wright .rothers' flights appeared not in a newspaper or on radio, but in a small journal dedicated to the topic of _____.	BEEKEEPING
There's a novelty museum in Arlington, Massachusetts that only collects food that has been _____.	BURNT
Prop comic Gallagher, known for smashing watermelons with a sledgehammer, earned a college degree in the field of _____.	CHEMICAL ENGINEERING
In 1976 boxing legend Muhammad Ali released an education children's album titled "Ali and His Gang Vs. Mr. _____."	TOOTH DECAY
On January 13, 2014, U.S. Secretary of State John Kerry presented to Russian Foreign Minister Sergei Lavrow the odd gift of two very large _____.	POTATOES
In the 16th century, gin was referred to as the Mother's _____.	RUIN
During th mid to late-nineties, the English town of Glastonbury was on a manhunt for the old house intruder known as "The _____."	TICKLER
According to the National Oceanic and Atmospheric Association, small icebergs are offically called "growlers." Medium icebergs go by the strange, two-word name "_____."	BERGY BITS
Suffering from an extremely rare side effect after getting hip surgery in 2010, a Dutch man has alienated his family because he cannot stop _____.	LAUGHING
It's weird work but Jackie Samuel charges $60 an hour to _____.	SNUGGLE
Huggies Brazil developed a phone app that tells you when a baby's diaper is wet. It's called _____.	TWEETPEE
Ben and Jerry only started making ice cream because it was too expensive to make _____.	BAGELS
A spectator in an Illinois courtroom was sentenced to six months in jail for ______ during a trial.	YAWNING
The sports teams at Freeport High School in Illinois are oddly named after an inanimate object. The teams are called the Freeport _____.	PRETZELS
The inventor of the laxative Ex-Lax has the unusual name Max _____.	KISS
Britt, Iowa annually crowns a King and Queen _____.	HOBO
Tashirojima is an island off of Japan that is complete overrun by _____.	CATS
For his voiceover work in Texas Chainsaw Massacre, John Larroqueet was paid not with money, but with _____.	MARIJUANA
The fans of musician Josh Groban are called _____.	GROBANITES
Jim Begelow, Ph.D., wrote a book called The Joy of Un_____!.	CIRCUMCISING
While president of the United States, John Adams had a dog named Juno and a dog named _____.	SATAN
A Kickstarter campaign met its $30,000 goal on April 7, 2012 for its shoes designed fo _____.	ATHEISTS
In 2007, Golden Laurel Entertainment published a violent board game called Kill the _____.	HIPPIES
In 2012, a 26-year-old man from London went on a mission to lick every _____ in the United Kingdom.	CATHEDRAL
Maryland's official state sport is _____.	JOUSTING
In 2003, Morocco made the highly unusual offer to send 2,000 _____ to assist the United States' war efforts in Iraq.	MONKEYS
Romano Mussolini, son of the fascist dictator Benito Mussolini, did not follow in his father's footsteps. Instead, he made his living as a _____.	JAZZ MUSICIAN
Patented in 1890, U.S. Patent US435748 is for a mustache ____.	GUARD
In 2007, to make a point, Nebraskain State Sen. Ernie Chambers filed a frivolous lawsuit against _____.	GOD
ROAD TRIP! When in Nepal, visit the village of Parsawa and Laxmipur, where you can enjoy the slightly off-putting 10 day _____ Festival.	CURSING
A group known as the "Robin Hooders" in Keene, New Hampshire pay for other people's _____.	PARKING METERS
In an effort to push "slow TV," Norway had a 12-hour block of programming in 2013 dedicated to _____.	KNITTING
Belmont University in Nashville has offered a class called "Oh, Look, a _____."	CHICKEN
The area in the Pacific Ocean where great white sharks congregate every spring is called the White Shark _____.	
Reg Mellor is the reigning champion of a sport that just involves keeping a _____ in your pants.	FERRET
During the summer of 2007, Pepsi sold a gree-tinted coal in Japan called Pepsi Ice _____.	CUCUMBER
Under Peter the Great, noblemen had to pay 100 rubles a year for a _____ license.	BEARD
In 2000, Australia had its larget ever online petition, which called for an end to rising _____ prices.	BEER
Although very unconventional, farmer William von Schneidau feeds his pigs _____.	MARIJUANA
When Paul Nelson and Andrew Hunter climbed Britain's highest mountain in 2006, they made an unusual discovery hidden behind a pile of stones. It was a _____.	PIANO
At 2:45 a.m. one day in June 2013, a man in Orlando, Florida was arrested for walking up to a police officer and punching his _____.	HORSE
Before he became pope, Pope Pius II wrote an erotic novel titled The Tale of the _____.	TWO LOVERS
A 2013 Pakistani game show caused a controversy when their grand prize was a _____.	BABY
In 2013, two teens from Sequoyah High Sxhool near Atlanta, Georgia won $5,0000 schoplarships for wearing _____ to prom	DUCT TAPE
Since 2000, a couple in Queens, New York has been living rent-free in a _____ in exchange for taking care of it.	CEMETERY
For a story he was reporting on in 1955, Dan Rather tried _____ for the first time.	HEROIN
Chosen, Shunned and Reckoning are all books in an unusual series about _____ vampires.	AMISH
In 2013, a 51-year-old Swedish inmate broke out of prison a day before his scheduled release so he could go see a _____.	DENTIST
